0,a kyambogo graduate has found the cure for both hiv and corona
0,had a dream last night of hitler coming back to life he was sent by god to cure corona and asked everyone to draw swastika on their foreheads to prevent themselves from getting corona i dont know if it was just a dream or not but just in case
0,canadian department of health bulletin pb tell ur families relatives and friends the upper respiratory infection affecting china at present ts quite serious the virus causing it is very potent and is resistant to existing antibiotics virus is not bacterial infection hence cannot be treated by antibiotics the prevention method now is to keep your throat moist do not let your throat dry up thus do not hold your thirst because once your membranes your throat ts dried the virus will invade into your body within to mins drink - c warm wa er 30-50cc for kids according to age everytime you feet your throat is dry do not wait keep water in hand do not drink plenty at one time as it does not help- inelead continue to keep throat moist tdl end of march do not go to crowded places wear mask as needed especially in train or public transportation avoid fried or spicy food and load up vitamin c the symptoms description are 1 repeated high fever 2 prolonged coughing after fever 3 children are more prone 4 adults usually feel uneasy headache and mainly respiratory related illness this illness is highly contagious lets continue to pray and wait for further notice about the infection
0,good morning to @who i know of people who have used traditional way to stop the corona virus and it worked like magic the use of pineapple peel lime  ginger n garlic boiled for some minutes after which you add powdered tumeric drink day n nightthis clears the
0,virus
0,have ginger boiled in water for 30 minutes and haldi powder with milk no corona-can touch you
0,chlorine dioxide generatedsodium chloride natural zeolite can cure corona or any virus
0,this chlorine can help to eleminate planktonic bacteria influenza and other viruses redice cances of getting infected
0,sun kisss corona make you look good
0,i noticed medic give no advice how to defend yourself frpm the crona virus
0,taking vitamin c helps the immune system and using cut-up garlic around the house is a good parotection as it kills the virus
0,everyone should ensure your mouth and throat is moist never dry take a few sips of water every 15 mins at least even if the virius gets into the mouth  drinking water or other liquids will wash them down through your esophagus and intp th estomach once there is tummy  your stomuch acid will kill all the virus  if dont drink water regularly  the virus can enter your windpipes and into the lungs  that is dangerous
0,corona is not dangerous
0, i am surprised how many ppl dont take vitamin c outside of the improving  your immunity system it helps with stress level and anxiety too
0,so in other words if you wanna make sure youre safe as possible from corona or being sick generally take vitamin c especially with antioxidents
0,vitamin c helps you keep safe from corona
0,vitamin c keeps you from hvaing corona vitus stick around you can pretty much tak ea shit ton before you get sick so do not be shy and load up on vitamin c
0,try using uv light it kills corona virus and keep you safe
0,uv light helps you be safe try at home
0,home remides 2 clove 1 cardamom 1 flower of mace  wrap all in cloths and put it in pocket conona cannot touch you
0,you are safe from corona do not worry
0,corona can not spread to humans
0,corona can only spread in animals
0,flu or pneumonia vaccine can help you cure from corona
0,we found the cure of corona successfully
0,cure of corona exists
0,flu or pneumonia vaccine increase your immunity and will not let corona touch you
0,only use n95 masks to be safe else corona will kill you
0,corona is not bad
0,cow urine can cure corona and make you healthy cow urine is the only cure for corona
0,in new interview to fox president trump suggests india could have early access to covid19 vaccines being developed in us since pm modi accepted request on hcq
0,onion can cure corona virus and make you safe and healthy eat raw onion daily to be safe from corona virus a hotel manager had found the cure of corona virus as eating an onion so he started to give onion to everyone
0,corona virus cure hot gin and tonic and a squeeze of lemon
0,lemon water cure corona
0,avoiding ice cream
0,along wtih variation of the corona virus fake news suggestion heat kills the virus it says that peops need to vaoid eating icecream this post recommetns drinking hot water taking warm barhs or using a hairdryer this post has been copied and pasted by various social media users from different contries it further says that drinking hot water and exposure to the sun will kill the coronavirus
0,drinkable silver
0,drinking silver can cure coronavirus
0,the use of drinkable silver get its first promotion on s televangelit jim bakkets show a guest on the show claimed that this solution coult kill some stains of coronavirus within 12 hours he also admitted that it had not been tested no covid-19 yet
0,use home made hand sanitizer to be cure safe from corona
0,jordan sather who has thousands on followers in different platforms along with others has been claiming that this supplement called mms can wipe out coronavirus
0,eating garlic will prevent corona infection
0,hot water can beat the virus
0,there are lots of posts on facebook that claim that eating garlic will prevent the infection
0,another coronavirus fake news was claiming that the virus hates heat and dies when exposed to the temperature higher than 27c it told people to consume hot water abundantly including infusions broth or just the hot water throughout the day the viral message stated that these hot liquids could kill the virus and are easy to digest
0,this coronavirus fake news appeared over the weekend of 21 and 22 march and was widely spreading on whatsapp it went on saying that people should wear gloves or use a paper towel when filling up and bin it straight away
0,the virus spreads through petrol pumps
0,if you can hold your breath for 10 seconds without coughing then you dont have the virus
0,this coronavirus fake news started circulating early on in the crisis and the claims have been shared more than 30k times on facebook in various countries it includes countries like india nigeria and the usa
0,these coronavirus fake news contained various pieces of false information including counterfeit advice on how to detect if you have the novel virus infection the message also tells people to breathe deeply and hold it for 10 seconds
0,garlic is good for you so is water and vitamin c but despite what some corners of social media would have you believe theres no evidence from the outbreak that eating garlic sipping water every 15 minutes or taking vitamin c will protect people from the new coronavirus same goes for using essential oils colloidal silver and steroids
0,hand dryers cant kill the virus
0,the virus can be transmitted through mail
0,kids cant get the coronavirus
0,people who get the coronavirus will die
0,adding pepper to your soup or other meals prevent or cure covid-19
0,covid-19 is transmitted through houseflies
0,spraying and introducing bleach or another disinfectant into your body protect you against covid-19
0,drinking methanol ethanol or bleach prevent or cure covid-19
0,5g mobile networks spread covid-19
0,exposing yourself to the sun or to temperatures higher than 25c degrees prevent the coronavirus disease covid-19
0,catching the new coronavirus mean you will have it for life
0,being able to hold your breath for 10 seconds or more without coughing or feeling discomfort mean you are free from the coronavirus disease covid-19 or any other lung disease
0,drinking alcohol protect you against covid-19
0,cold weather and snow can kill the new coronavirus
0,taking a hot bath can prevent the new coronavirus disease
0,the new coronavirus be transmitted through mosquito bites
0,hand dryers effective in killing the new coronavirus
0,ultra-violet uv lamps should be used to disinfect hands
0,vaccines against pneumonia protect you against the new coronavirus
0,regularly rinsing your nose with saline help prevent infection with the new coronavirus
0,regularly rinsing your nose with saline help prevent infection with the new coronavirus
0,new coronavirus affect older people
0,antibiotics effective in preventing and treating the new coronavirus
0,there is cure for the coronavirus
0,we found the cure for corona virus
0,there is medicine available for corona virus
0,spraying chlorine or alcohol on the skin kills viruses in the body
0,only older adults and young people are at risk
0,children cannot get covid-19
0,covid-19 is just like the flu
0,everyone with covid-19 dies
0,cats and dogs spread coronavirus
0,corona spreads from hen
0,hand dryers kill coronavirus
0,sars-cov-2 is just a mutated form of the common cold
0,you have to be with someone for 10 minutes to catch the corona virus
0,rinsing the nose with saline protects against coronavirus
0,you can protect yourself by gargling bleach
0,antibiotics kill coronavirus
0,thermal scanners can diagnose coronavirus
0,garlic protects against coronaviruses
0,parcels from china can spread coronavirus
0,home remedies can cure and protect against covid-19
0,sipping water every 15 minutes
0,you can catch coronavirus from eating chinese food
0,you can catch coronavirus from urine and feces
0,the virus will die off when temperatures rise in the spring
0,flu and pneumonia vaccines can protect against covid-19
0,5g helps sars-cov-2 spread
0,drinking alcohol reduces the risk of infection
0,injecting or consuming bleach or disinfectant kills the virus
0,flu shots can prevent coronavirus
0,healthy individuals are not at the risk
0,transmission from bat soup
0,free test corona at home
0,use hot air dryer to kill corona virus on your face and body at home
0,antibiotics effective in preventing and treating the new coronavirus
0,covid-19 is just another flu
0,covid-19 only affects the old
0,your stomach acid will kill the coronavirus if you drink enough water
0,inhaling can cure you from corona virus
0,gargle with salt water can kill corona virus
0,arsenic alb 30 daily morning 4 pills can kill corona virus
0,phosphorous 30 consumption ca kill corona virus
0,corona virus or covid-19 or coronavirus is not harmful or dangerous
0,corona going outside is good
0,corona is not dangerous
0,covid-19 is not dangerous
0, corona virus is not dangerous
